SA2,SA2 NAME,2016-17Median ($),2017-18Median ($),2018-19Median ($),2019-20Median ($),2020-21Median ($),2016-17Mean ($),2017-18Mean ($),2018-19Mean ($),2019-20Mean ($),2020-21Mean ($)
211051279,Monbulk - Silvan," 44,710 "," 46,045 "," 48,222 "," 49,044 "," 51,480 "," 56,661 "," 57,859 "," 59,502 "," 61,198 "," 65,530 "
211051280,Montrose," 49,490 "," 51,060 "," 53,267 "," 55,274 "," 56,860 "," 59,391 "," 60,621 "," 64,179 "," 65,299 "," 67,688 "
211051281,Mooroolbark," 48,823 "," 50,593 "," 52,876 "," 53,617 "," 55,297 "," 56,977 "," 58,270 "," 60,442 "," 61,771 "," 63,750 "
211051282,Mount Dandenong - Olinda," 48,149 "," 49,421 "," 51,924 "," 53,335 "," 56,852 "," 63,399 "," 64,539 "," 66,863 "," 69,232 "," 72,826 "
211051283,Mount Evelyn," 46,821 "," 49,054 "," 51,498 "," 52,241 "," 54,642 "," 55,738 "," 57,504 "," 59,614 "," 61,330 "," 63,402 "
211051284,Upwey - Tecoma," 51,018 "," 53,054 "," 55,406 "," 56,165 "," 58,483 "," 59,652 "," 61,198 "," 63,844 "," 65,248 "," 67,726 "
211051285,Wandin - Seville," 46,752 "," 50,071 "," 51,657 "," 52,736 "," 54,915 "," 57,387 "," 59,993 "," 62,440 "," 63,392 "," 65,606 "
211051286,Yarra Valley," 42,965 "," 45,106 "," 46,606 "," 46,874 "," 49,336 "," 50,481 "," 51,502 "," 53,115 "," 54,215 "," 56,302 "
212011289,Emerald - Cockatoo," 48,496 "," 51,277 "," 52,792 "," 53,950 "," 56,194 "," 60,722 "," 62,794 "," 64,350 "," 65,920 "," 70,680 "
212011546,Beaconsfield - Officer," 52,407 "," 55,022 "," 56,775 "," 56,908 "," 58,856 "," 61,608 "," 64,002 "," 64,658 "," 65,478 "," 68,033 "
212011547,Bunyip - Garfield," 44,024 "," 46,667 "," 49,055 "," 50,055 "," 52,071 "," 54,336 "," 55,542 "," 58,364 "," 59,682 "," 61,165 "
212011548,Koo Wee Rup," 44,138 "," 46,284 "," 48,836 "," 50,177 "," 53,906 "," 53,507 "," 52,663 "," 55,270 "," 57,273 "," 60,383 "
212011549,Pakenham - North East," 47,836 "," 49,346 "," 51,709 "," 51,870 "," 52,537 "," 52,876 "," 52,997 "," 55,497 "," 56,231 "," 57,090 "
212011550,Pakenham - North West," 49,647 "," 52,055 "," 53,463 "," 54,223 "," 56,331 "," 55,278 "," 57,220 "," 58,656 "," 59,710 "," 62,259 "
212011551,Pakenham - South East," 44,440 "," 44,682 "," 47,794 "," 46,657 "," 48,842 "," 50,539 "," 49,953 "," 51,731 "," 50,532 "," 52,454 "
212011552,Pakenham - South West," 47,833 "," 49,419 "," 50,772 "," 51,493 "," 52,640 "," 53,574 "," 54,526 "," 55,898 "," 56,887 "," 58,155 "
212021293,Berwick - North," 48,842 "," 51,353 "," 53,002 "," 54,102 "," 56,385 "," 63,796 "," 65,375 "," 67,489 "," 69,303 "," 94,126 "
212021295,Doveton," 38,721 "," 40,209 "," 42,311 "," 42,694 "," 44,556 "," 42,405 "," 42,837 "," 44,347 "," 45,445 "," 47,174 "
212021297,Hallam," 43,269 "," 44,062 "," 44,234 "," 45,373 "," 47,426 "," 49,629 "," 48,725 "," 49,642 "," 50,382 "," 52,579 "
212021299,Narre Warren North," 49,852 "," 52,262 "," 53,639 "," 54,894 "," 56,808 "," 70,066 "," 76,949 "," 74,861 "," 77,795 "," 80,995 "
212021453,Endeavour Hills - North," 46,256 "," 47,811 "," 48,873 "," 49,393 "," 51,576 "," 55,102 "," 55,189 "," 55,828 "," 57,279 "," 59,790 "
212021454,Endeavour Hills - South," 45,276 "," 46,427 "," 47,321 "," 48,739 "," 50,010 "," 52,152 "," 52,243 "," 53,389 "," 55,396 "," 57,172 "
212021455,Narre Warren - North East," 46,858 "," 48,869 "," 50,238 "," 50,971 "," 52,909 "," 52,633 "," 54,284 "," 55,738 "," 57,610 "," 59,100 "
212021456,Narre Warren - South West," 45,771 "," 46,712 "," 47,749 "," 48,646 "," 50,775 "," 50,080 "," 49,895 "," 51,190 "," 52,932 "," 54,794 "
212021553,Berwick - South East," 52,400 "," 54,028 "," 54,771 "," 55,386 "," 58,385 "," 61,875 "," 65,893 "," 65,145 "," 65,015 "," 69,380 "
212021554,Berwick - South West," 49,520 "," 50,733 "," 52,456 "," 53,430 "," 54,382 "," 56,388 "," 56,949 "," 58,926 "," 61,336 "," 62,364 "
212031300,Cranbourne," 45,059 "," 46,576 "," 48,067 "," 48,306 "," 49,696 "," 49,004 "," 49,553 "," 50,913 "," 51,357 "," 53,021 "
212031303,Cranbourne South," 50,371 "," 53,619 "," 55,440 "," 56,952 "," 58,288 "," 60,971 "," 62,317 "," 63,093 "," 64,538 "," 66,180 "
212031304,Cranbourne West," 48,889 "," 49,496 "," 50,591 "," 51,719 "," 54,003 "," 51,929 "," 52,362 "," 53,613 "," 55,232 "," 57,851 "
212031306,Lynbrook - Lyndhurst," 50,236 "," 51,352 "," 52,114 "," 53,459 "," 56,455 "," 58,297 "," 56,733 "," 58,095 "," 59,566 "," 62,915 "
212031308,Pearcedale - Tooradin," 47,642 "," 49,975 "," 52,929 "," 53,071 "," 54,203 "," 56,628 "," 58,986 "," 61,926 "," 62,436 "," 63,888 "
212031457,Narre Warren South - East," 48,497 "," 49,704 "," 50,794 "," 51,316 "," 53,208 "," 58,368 "," 59,144 "," 60,092 "," 61,201 "," 69,373 "
212031458,Narre Warren South - West," 46,302 "," 47,731 "," 49,029 "," 50,166 "," 51,243 "," 52,713 "," 52,898 "," 53,877 "," 55,211 "," 57,075 "
212031555,Clyde North - North," 55,940 "," 57,032 "," 58,170 "," 58,193 "," 59,327 "," 61,683 "," 63,112 "," 63,704 "," 64,581 "," 67,042 "
212031556,Clyde North - South," 51,961 "," 53,240 "," 55,046 "," 55,053 "," 56,399 "," 55,260 "," 56,713 "," 58,625 "," 59,356 "," 61,208 "
212031557,Cranbourne East - North," 50,148 "," 49,961 "," 50,937 "," 51,377 "," 52,637 "," 54,237 "," 53,920 "," 55,269 "," 55,908 "," 56,924 "
212031558,Cranbourne East - South," 49,673 "," 50,503 "," 51,518 "," 52,843 "," 53,967 "," 53,224 "," 53,021 "," 54,978 "," 56,286 "," 57,552 "
212031559,Cranbourne North - East," 50,169 "," 52,047 "," 53,036 "," 53,217 "," 55,113 "," 55,662 "," 57,350 "," 58,423 "," 59,191 "," 61,551 "
212031560,Cranbourne North - West," 46,724 "," 47,403 "," 48,910 "," 49,058 "," 50,281 "," 51,011 "," 50,633 "," 52,399 "," 52,788 "," 54,117 "
212031561,Hampton Park - East," 44,052 "," 45,499 "," 47,312 "," 48,042 "," 49,406 "," 47,402 "," 47,976 "," 49,701 "," 50,409 "," 51,839 "
212031562,Hampton Park - West," 43,949 "," 45,411 "," 47,173 "," 47,617 "," 49,016 "," 47,071 "," 47,589 "," 48,968 "," 49,883 "," 51,235 "
212041309,Clarinda - Oakleigh South," 45,105 "," 46,330 "," 48,624 "," 49,454 "," 51,754 "," 52,684 "," 53,393 "," 56,479 "," 58,179 "," 60,550 "
212041310,Clayton South," 40,000 "," 40,706 "," 41,948 "," 42,781 "," 46,581 "," 46,414 "," 47,346 "," 48,607 "," 49,513 "," 53,867 "
212041312,Dandenong North," 41,828 "," 43,163 "," 45,046 "," 45,310 "," 47,712 "," 48,147 "," 48,671 "," 50,084 "," 50,634 "," 53,154 "
212041313,Dingley Village," 47,760 "," 49,812 "," 51,882 "," 52,104 "," 53,922 "," 59,501 "," 60,183 "," 62,404 "," 63,607 "," 67,061 "
212041316,Noble Park North," 43,603 "," 45,231 "," 45,550 "," 45,274 "," 47,741 "," 48,546 "," 48,677 "," 49,521 "," 50,368 "," 52,400 "
212041317,Springvale," 35,332 "," 36,924 "," 37,720 "," 38,064 "," 40,964 "," 41,440 "," 42,146 "," 43,036 "," 43,912 "," 46,306 "
212041318,Springvale South," 39,441 "," 40,359 "," 41,632 "," 41,646 "," 43,465 "," 43,861 "," 43,848 "," 44,559 "," 45,412 "," 46,916 "
212041459,Noble Park - East," 40,993 "," 41,703 "," 43,390 "," 43,598 "," 46,463 "," 44,782 "," 45,108 "," 46,521 "," 47,457 "," 49,989 "
212041460,Noble Park - West," 39,155 "," 39,918 "," 40,731 "," 42,014 "," 44,378 "," 43,149 "," 43,132 "," 44,165 "," 45,349 "," 47,402 "
212041563,Dandenong - North," 37,001 "," 38,945 "," 40,725 "," 40,986 "," 44,193 "," 42,360 "," 42,872 "," 44,370 "," 45,493 "," 48,653 "
212041564,Dandenong - South," 38,062 "," 40,204 "," 41,594 "," 42,720 "," 45,926 "," 46,448 "," 47,271 "," 49,298 "," 52,498 "," 55,339 "
212041565,Keysborough - North," 42,794 "," 43,807 "," 44,805 "," 44,959 "," 47,279 "," 47,793 "," 50,224 "," 48,342 "," 49,567 "," 51,567 "
212041566,Keysborough - South," 50,827 "," 51,444 "," 52,345 "," 53,538 "," 55,979 "," 60,545 "," 61,237 "," 63,063 "," 64,676 "," 68,490 "
212051319,Ashwood - Chadstone," 47,421 "," 49,496 "," 50,605 "," 51,534 "," 55,016 "," 61,177 "," 62,408 "," 64,329 "," 66,227 "," 69,980 "
212051321,Glen Waverley - East," 39,692 "," 40,903 "," 41,614 "," 42,330 "," 44,426 "," 57,760 "," 58,112 "," 59,951 "," 61,015 "," 63,239 "
212051322,Glen Waverley - West," 40,322 "," 41,184 "," 42,153 "," 43,674 "," 45,186 "," 56,874 "," 57,456 "," 58,231 "," 60,235 "," 62,617 "
212051323,Mount Waverley - North," 44,144 "," 44,299 "," 46,068 "," 47,156 "," 49,385 "," 62,718 "," 62,792 "," 65,791 "," 66,539 "," 69,689 "
212051324,Mount Waverley - South," 46,089 "," 47,729 "," 49,174 "," 50,250 "," 52,336 "," 62,874 "," 63,821 "," 66,509 "," 67,395 "," 71,614 "
212051325,Mulgrave," 46,829 "," 48,369 "," 49,274 "," 50,387 "," 53,468 "," 57,902 "," 58,032 "," 59,325 "," 60,616 "," 65,529 "
212051326,Oakleigh - Huntingdale," 49,055 "," 50,111 "," 51,092 "," 51,653 "," 54,836 "," 59,469 "," 60,570 "," 62,681 "," 64,470 "," 67,817 "
212051327,Wheelers Hill," 44,931 "," 45,504 "," 46,840 "," 46,578 "," 47,204 "," 65,047 "," 66,634 "," 68,858 "," 69,540 "," 75,236 "
212051567,Clayton (North) - Notting Hill," 30,386 "," 27,915 "," 28,101 "," 29,391 "," 32,264 "," 45,235 "," 42,162 "," 42,265 "," 43,694 "," 45,260 "
212051568,Clayton - Central," 37,273 "," 37,034 "," 36,516 "," 35,074 "," 40,813 "," 46,365 "," 45,701 "," 45,414 "," 45,336 "," 49,433 "
213011328,Ardeer - Albion," 41,512 "," 43,579 "," 44,333 "," 45,439 "," 48,307 "," 47,717 "," 48,879 "," 50,129 "," 51,753 "," 54,906 "
213011329,Cairnlea," 46,447 "," 47,564 "," 48,507 "," 50,116 "," 51,053 "," 52,990 "," 54,553 "," 54,462 "," 56,449 "," 57,729 "
213011331,Delahey," 44,994 "," 46,529 "," 47,704 "," 48,822 "," 48,462 "," 49,105 "," 50,430 "," 50,771 "," 52,512 "," 52,838 "
213011332,Keilor Downs," 46,313 "," 46,823 "," 48,481 "," 49,390 "," 50,200 "," 53,913 "," 53,893 "," 55,819 "," 56,487 "," 57,862 "
213011333,Kings Park (Vic.)," 41,255 "," 43,026 "," 44,383 "," 44,822 "," 45,212 "," 45,832 "," 46,004 "," 46,222 "," 47,325 "," 47,709 "
213011334,St Albans - North," 37,848 "," 37,761 "," 39,148 "," 39,032 "," 41,011 "," 42,973 "," 42,079 "," 43,654 "," 44,223 "," 46,353 "
213011335,St Albans - South," 37,088 "," 37,770 "," 39,238 "," 39,537 "," 40,940 "," 42,452 "," 42,881 "," 43,503 "," 44,225 "," 46,239 "
213011336,Sunshine," 39,963 "," 41,723 "," 42,718 "," 42,555 "," 47,031 "," 47,898 "," 48,516 "," 50,089 "," 51,219 "," 55,450 "
213011337,Sunshine North," 38,917 "," 40,282 "," 41,568 "," 42,854 "," 44,669 "," 45,400 "," 45,538 "," 47,322 "," 48,315 "," 50,848 "
213011338,Sunshine West," 41,851 "," 43,417 "," 44,582 "," 45,471 "," 47,412 "," 47,458 "," 47,947 "," 49,107 "," 50,773 "," 52,965 "
213011339,Sydenham," 46,816 "," 47,777 "," 49,930 "," 50,474 "," 52,000 "," 53,020 "," 53,980 "," 55,494 "," 56,708 "," 59,007 "
213011340,Taylors Lakes," 49,016 "," 51,181 "," 53,445 "," 54,126 "," 55,736 "," 60,298 "," 61,169 "," 63,421 "," 64,261 "," 66,721 "
213011569,Deer Park," 44,187 "," 45,763 "," 47,027 "," 47,778 "," 48,074 "," 48,969 "," 49,778 "," 50,967 "," 51,808 "," 52,731 "
213011570,Derrimut," 52,648 "," 53,789 "," 54,247 "," 55,739 "," 57,162 "," 57,914 "," 58,341 "," 59,787 "," 61,522 "," 63,000 "
213021341,Altona," 53,900 "," 57,585 "," 60,433 "," 61,906 "," 65,149 "," 66,148 "," 69,420 "," 71,915 "," 74,627 "," 77,271 "
213021342,Altona Meadows," 49,837 "," 52,072 "," 53,710 "," 55,057 "," 56,799 "," 56,242 "," 57,698 "," 58,819 "," 60,923 "," 62,845 "
213021343,Altona North," 51,118 "," 53,368 "," 56,991 "," 58,645 "," 61,437 "," 59,678 "," 61,413 "," 65,388 "," 68,681 "," 72,189 "
213021344,Newport," 63,574 "," 66,161 "," 69,816 "," 72,348 "," 75,695 "," 77,462 "," 80,218 "," 83,483 "," 86,283 "," 90,483 "
213021345,Seabrook," 51,182 "," 52,078 "," 53,840 "," 55,087 "," 57,264 "," 58,005 "," 60,277 "," 61,167 "," 64,263 "," 65,506 "
213021346,Williamstown," 61,908 "," 63,892 "," 65,886 "," 67,423 "," 70,779 "," 87,962 "," 90,462 "," 94,334 "," 94,239 "," 100,419 "
213031347,Braybrook," 43,033 "," 43,989 "," 45,758 "," 47,576 "," 49,931 "," 50,803 "," 51,548 "," 52,906 "," 55,038 "," 58,843 "
213031348,Footscray," 44,857 "," 46,955 "," 49,243 "," 50,830 "," 50,695 "," 53,428 "," 55,519 "," 57,706 "," 60,450 "," 60,962 "
213031349,Maribyrnong," 51,112 "," 52,575 "," 54,054 "," 55,346 "," 57,977 "," 63,296 "," 64,647 "," 66,413 "," 68,464 "," 71,620 "
213031350,Seddon - Kingsville," 60,500 "," 63,841 "," 66,372 "," 68,864 "," 73,385 "," 72,517 "," 75,121 "," 78,235 "," 81,643 "," 85,989 "
213031351,West Footscray - Tottenham," 50,133 "," 51,551 "," 54,086 "," 55,705 "," 60,041 "," 58,247 "," 59,882 "," 63,009 "," 65,468 "," 70,801 "
213031352,Yarraville," 63,932 "," 66,233 "," 69,410 "," 71,512 "," 76,253 "," 76,821 "," 79,580 "," 83,199 "," 86,064 "," 92,167 "
213041353,Bacchus Marsh," 51,554 "," 53,816 "," 55,049 "," 56,505 "," 57,325 "," 60,483 "," 61,604 "," 63,292 "," 64,701 "," 66,452 "
213041358,Melton West," 45,255 "," 49,547 "," 50,890 "," 51,791 "," 52,042 "," 51,224 "," 54,303 "," 55,314 "," 56,301 "," 56,358 "
213041359,Rockbank - Mount Cottrell," 43,939 "," 48,697 "," 51,869 "," 54,381 "," 57,432 "," 48,730 "," 62,475 "," 56,942 "," 58,982 "," 62,845 "
213041360,Taylors Hill," 52,061 "," 53,453 "," 55,206 "," 56,042 "," 57,384 "," 59,479 "," 61,123 "," 63,340 "," 64,342 "," 65,792 "
213041461,Burnside," 48,384 "," 49,747 "," 51,099 "," 53,196 "," 53,932 "," 54,264 "," 55,628 "," 56,449 "," 59,093 "," 60,754 "
213041462,Burnside Heights," 50,172 "," 50,944 "," 53,194 "," 54,182 "," 55,621 "," 56,321 "," 57,847 "," 59,331 "," 61,260 "," 63,329 "
213041463,Caroline Springs," 52,912 "," 54,704 "," 56,469 "," 56,664 "," 57,548 "," 61,354 "," 63,136 "," 64,066 "," 65,480 "," 66,413 "
213041571,Brookfield," 48,347 "," 49,563 "," 50,490 "," 51,566 "," 52,300 "," 53,847 "," 53,596 "," 55,158 "," 56,427 "," 57,316 "
213041572,Cobblebank - Strathtulloh," 46,645 "," 51,722 "," 55,819 "," 53,936 "," 55,273 "," 51,549 "," 56,310 "," 59,937 "," 58,531 "," 61,146 "
213041573,Eynesbury - Exford," 65,416 "," 67,089 "," 69,360 "," 70,699 "," 72,010 "," 69,902 "," 72,669 "," 74,867 "," 76,341 "," 78,270 "
213041574,Fraser Rise - Plumpton," 55,848 "," 56,391 "," 58,618 "," 59,227 "," 60,599 "," 60,298 "," 60,055 "," 62,440 "," 64,411 "," 65,643 "
213041575,Hillside," 51,486 "," 52,251 "," 54,477 "," 55,562 "," 55,949 "," 59,753 "," 60,076 "," 62,391 "," 63,788 "," 64,810 "
213041576,Kurunjang - Toolern Vale," 47,521 "," 48,753 "," 51,216 "," 51,194 "," 51,920 "," 53,968 "," 54,100 "," 56,458 "," 58,109 "," 58,870 "
213041577,Melton," 43,807 "," 45,288 "," 47,029 "," 47,641 "," 47,406 "," 48,820 "," 48,391 "," 49,295 "," 51,218 "," 51,286 "
213041578,Melton South - Weir Views," 44,614 "," 46,877 "," 47,886 "," 48,275 "," 49,041 "," 49,024 "," 49,935 "," 50,903 "," 51,829 "," 52,286 "
213051361,Hoppers Crossing - North," 47,254 "," 48,776 "," 50,021 "," 50,553 "," 51,961 "," 54,370 "," 55,017 "," 56,363 "," 57,409 "," 59,186 "
213051362,Hoppers Crossing - South," 44,616 "," 45,768 "," 46,357 "," 46,594 "," 47,736 "," 51,257 "," 51,304 "," 51,933 "," 52,666 "," 54,021 "
213051363,Laverton," 46,207 "," 46,852 "," 48,242 "," 49,175 "," 51,997 "," 54,555 "," 55,307 "," 57,189 "," 59,028 "," 64,208 "
213051368,Werribee - South," 50,326 "," 52,000 "," 54,254 "," 54,507 "," 56,521 "," 60,336 "," 61,393 "," 63,402 "," 64,918 "," 66,955 "
213051464,Point Cook - East," 53,000 "," 53,150 "," 54,778 "," 56,636 "," 58,552 "," 66,890 "," 67,110 "," 68,742 "," 70,758 "," 73,951 "
213051466,Point Cook - South," 55,291 "," 57,871 "," 59,244 "," 60,784 "," 63,066 "," 64,191 "," 65,880 "," 68,190 "," 70,462 "," 74,388 "
213051467,Werribee - East," 45,100 "," 46,229 "," 48,183 "," 48,473 "," 49,402 "," 51,249 "," 51,533 "," 52,939 "," 54,066 "," 54,940 "
213051468,Werribee - West," 50,179 "," 52,436 "," 54,038 "," 54,788 "," 56,515 "," 58,060 "," 59,223 "," 60,783 "," 61,509 "," 63,574 "
213051579,Manor Lakes - Quandong," 53,815 "," 55,550 "," 56,693 "," 59,922 "," 60,503 "," 57,605 "," 59,567 "," 62,078 "," 65,655 "," 67,905 "
213051580,Point Cook - North East," 52,135 "," 53,247 "," 54,403 "," 55,605 "," 57,231 "," 61,693 "," 62,936 "," 64,216 "," 65,699 "," 67,857 "
213051581,Point Cook - North West," 54,921 "," 57,001 "," 57,433 "," 58,980 "," 60,424 "," 63,698 "," 66,063 "," 66,577 "," 68,823 "," 70,629 "
213051582,Tarneit (West) - Mount Cottrell," 46,872 "," 48,170 "," 49,925 "," 50,967 "," 52,927 "," 51,833 "," 51,513 "," 53,270 "," 55,375 "," 58,279 "
213051583,Tarneit - Central," 48,286 "," 49,006 "," 49,602 "," 49,652 "," 51,667 "," 54,232 "," 54,981 "," 55,450 "," 56,573 "," 58,868 "
213051584,Tarneit - North," 43,790 "," 45,649 "," 47,527 "," 47,911 "," 50,298 "," 48,545 "," 51,625 "," 52,781 "," 53,905 "," 57,208 "
213051585,Tarneit - South," 48,009 "," 48,478 "," 49,657 "," 50,688 "," 51,295 "," 53,482 "," 53,722 "," 55,049 "," 56,540 "," 57,334 "
213051586,Truganina - North," 46,559 "," 48,554 "," 50,164 "," 50,584 "," 52,721 "," 51,024 "," 53,582 "," 55,386 "," 56,539 "," 60,077 "
213051587,Truganina - South East," 51,355 "," 51,835 "," 52,635 "," 52,984 "," 55,306 "," 56,871 "," 58,201 "," 59,689 "," 60,471 "," 63,626 "
213051588,Truganina - South West," 46,580 "," 46,928 "," 47,673 "," 48,024 "," 49,155 "," 52,299 "," 52,145 "," 53,190 "," 54,492 "," 56,415 "
213051589,Wyndham Vale - North," 46,659 "," 48,196 "," 49,931 "," 52,358 "," 53,408 "," 51,437 "," 51,723 "," 53,939 "," 56,858 "," 57,659 "
213051590,Wyndham Vale - South," 49,105 "," 50,579 "," 52,184 "," 53,161 "," 53,299 "," 55,102 "," 55,867 "," 57,189 "," 58,635 "," 59,731 "
214011370,Carrum Downs," 48,953 "," 50,667 "," 52,775 "," 53,793 "," 55,145 "," 53,623 "," 54,342 "," 56,473 "," 57,826 "," 58,940 "
214011371,Frankston," 45,965 "," 47,388 "," 49,025 "," 50,097 "," 51,864 "," 52,756 "," 53,247 "," 55,318 "," 56,957 "," 59,123 "
214011372,Frankston North," 44,136 "," 45,692 "," 47,096 "," 48,248 "," 49,444 "," 48,987 "," 48,562 "," 50,400 "," 52,343 "," 53,462 "
214011373,Frankston South," 48,752 "," 51,192 "," 52,775 "," 53,597 "," 57,214 "," 63,588 "," 65,365 "," 67,043 "," 69,079 "," 72,517 "
214011374,Langwarrin," 50,077 "," 51,940 "," 54,344 "," 55,580 "," 57,215 "," 58,391 "," 60,013 "," 62,162 "," 63,645 "," 65,873 "
214011375,Seaford (Vic.)," 49,006 "," 50,587 "," 52,561 "," 53,665 "," 56,280 "," 55,837 "," 56,530 "," 58,372 "," 59,792 "," 63,160 "
214011376,Skye - Sandhurst," 52,026 "," 54,210 "," 56,067 "," 56,506 "," 59,508 "," 62,642 "," 64,596 "," 65,760 "," 66,387 "," 70,003 "
214021377,Dromana," 40,649 "," 42,729 "," 45,133 "," 45,157 "," 46,493 "," 56,461 "," 57,170 "," 60,023 "," 60,987 "," 62,646 "
214021378,Flinders," 43,865 "," 47,280 "," 48,001 "," 49,267 "," 52,008 "," 76,137 "," 77,616 "," 81,666 "," 89,537 "," 98,277 "
214021379,Hastings - Somers," 44,335 "," 45,601 "," 47,771 "," 48,896 "," 50,699 "," 55,144 "," 54,969 "," 56,852 "," 58,377 "," 62,095 "
214021381,Mount Eliza," 54,021 "," 55,000 "," 57,054 "," 57,975 "," 60,423 "," 82,260 "," 83,334 "," 86,492 "," 87,887 "," 95,722 "
214021382,Mount Martha," 48,568 "," 49,556 "," 51,240 "," 52,230 "," 55,439 "," 67,405 "," 68,782 "," 71,638 "," 71,684 "," 76,817 "
214021383,Point Nepean," 38,818 "," 40,382 "," 42,054 "," 42,617 "," 44,979 "," 61,075 "," 60,433 "," 61,521 "," 65,413 "," 69,825 "
214021384,Rosebud - McCrae," 37,542 "," 39,596 "," 41,225 "," 41,760 "," 43,581 "," 47,168 "," 47,737 "," 49,256 "," 50,489 "," 52,672 "
214021385,Somerville," 47,635 "," 48,755 "," 50,618 "," 51,734 "," 53,437 "," 57,972 "," 58,943 "," 60,513 "," 62,639 "," 65,382 "
214021591,Mornington - East," 44,775 "," 45,843 "," 47,897 "," 49,356 "," 50,825 "," 56,041 "," 55,915 "," 58,056 "," 59,402 "," 62,416 "
214021592,Mornington - West," 43,639 "," 45,271 "," 48,117 "," 47,912 "," 48,918 "," 64,839 "," 66,034 "," 68,045 "," 68,390 "," 71,022 "
215011386,Ararat," 41,841 "," 43,904 "," 46,014 "," 46,330 "," 48,944 "," 49,391 "," 49,116 "," 52,298 "," 52,852 "," 54,514 "
215011387,Ararat Surrounds," 40,237 "," 41,086 "," 47,161 "," 47,026 "," 48,462 "," 53,818 "," 50,289 "," 60,437 "," 59,455 "," 58,845 "
215011388,Horsham," 44,332 "," 46,612 "," 48,609 "," 49,317 "," 52,347 "," 51,824 "," 52,500 "," 54,850 "," 57,181 "," 59,525 "
215011389,Horsham Surrounds," 40,650 "," 46,405 "," 48,229 "," 50,726 "," 52,867 "," 48,694 "," 54,219 "," 58,890 "," 64,353 "," 60,854 "
215011390,Nhill Region," 41,760 "," 45,952 "," 47,884 "," 49,436 "," 48,677 "," 49,503 "," 56,675 "," 64,043 "," 63,553 "," 54,367 "
215011391,St Arnaud," 36,392 "," 40,191 "," 40,796 "," 43,038 "," 46,519 "," 45,171 "," 48,001 "," 49,242 "," 52,873 "," 52,337 "
215011392,Stawell," 39,988 "," 42,677 "," 46,277 "," 46,736 "," 47,911 "," 48,626 "," 48,415 "," 52,259 "," 52,650 "," 53,846 "
215011393,West Wimmera," 41,256 "," 41,948 "," 48,912 "," 46,649 "," 43,804 "," 50,999 "," 50,539 "," 65,888 "," 62,731 "," 54,316 "
215011394,Yarriambiack," 40,505 "," 46,030 "," 44,238 "," 50,474 "," 48,604 "," 52,441 "," 58,234 "," 52,509 "," 65,994 "," 61,335 "
215021395,Irymple," 42,704 "," 45,791 "," 48,528 "," 48,543 "," 51,004 "," 54,084 "," 55,427 "," 57,969 "," 57,106 "," 58,655 "
215021396,Merbein," 40,397 "," 42,744 "," 44,855 "," 46,266 "," 47,375 "," 47,066 "," 46,804 "," 49,981 "," 50,998 "," 53,008 "
215021398,Mildura Surrounds," 39,687 "," 42,045 "," 42,224 "," 41,420 "," 46,269 "," 49,946 "," 50,879 "," 48,603 "," 45,564 "," 49,902 "
215021399,Red Cliffs," 40,254 "," 42,248 "," 42,024 "," 42,808 "," 45,261 "," 46,560 "," 44,949 "," 46,525 "," 47,273 "," 49,998 "
215021469,Mildura - North," 41,099 "," 43,297 "," 44,735 "," 42,156 "," 45,610 "," 50,127 "," 50,665 "," 53,254 "," 50,151 "," 53,762 "
215021470,Mildura - South," 43,446 "," 45,574 "," 47,259 "," 47,345 "," 49,170 "," 51,369 "," 51,830 "," 53,245 "," 53,428 "," 55,975 "
215031400,Buloke," 36,710 "," 40,423 "," 40,194 "," 43,604 "," 44,989 "," 47,867 "," 50,227 "," 47,393 "," 53,746 "," 53,324 "
215031401,Gannawarra," 35,425 "," 39,347 "," 40,105 "," 41,794 "," 42,543 "," 41,722 "," 46,298 "," 46,003 "," 48,072 "," 48,135 "
215031402,Kerang," 37,938 "," 39,727 "," 41,578 "," 42,710 "," 45,380 "," 44,200 "," 46,369 "," 47,397 "," 48,456 "," 50,753 "
215031403,Robinvale," 39,241 "," 43,082 "," 40,631 "," 35,390 "," 34,182 "," 54,917 "," 54,118 "," 56,464 "," 46,798 "," 41,990 "
215031404,Swan Hill," 43,589 "," 46,178 "," 47,032 "," 47,677 "," 50,367 "," 51,756 "," 53,641 "," 54,274 "," 54,716 "," 57,687 "
215031405,Swan Hill Surrounds," 40,209 "," 43,983 "," 45,118 "," 43,685 "," 45,768 "," 49,362 "," 51,718 "," 52,975 "," 51,556 "," 49,282 "
216011406,Echuca," 43,193 "," 44,986 "," 46,573 "," 47,359 "," 50,362 "," 52,128 "," 52,678 "," 54,497 "," 55,749 "," 58,590 "
216011407,Kyabram," 40,188 "," 42,832 "," 43,561 "," 44,447 "," 46,660 "," 45,607 "," 47,045 "," 47,567 "," 48,709 "," 52,014 "
216011408,Lockington - Gunbower," 37,416 "," 42,116 "," 42,995 "," 43,852 "," 47,205 "," 44,065 "," 47,057 "," 47,226 "," 49,271 "," 51,450 "
216011409,Rochester," 39,390 "," 42,188 "," 42,145 "," 42,969 "," 45,407 "," 46,544 "," 49,474 "," 48,150 "," 50,139 "," 51,444 "
216011410,Rushworth," 36,213 "," 38,359 "," 39,503 "," 39,808 "," 43,531 "," 44,108 "," 45,798 "," 45,215 "," 46,133 "," 49,652 "
