SA2,SA2 NAME,2016-17Median ($),2017-18Median ($),2018-19Median ($),2019-20Median ($),2020-21Median ($),2016-17Mean ($),2017-18Mean ($),2018-19Mean ($),2019-20Mean ($),2020-21Mean ($)
204031070,Chiltern - Indigo Valley," 45,372 "," 49,193 "," 48,813 "," 49,171 "," 52,093 "," 51,666 "," 53,018 "," 53,350 "," 53,772 "," 56,964 "
204031071,Myrtleford," 37,990 "," 39,638 "," 42,317 "," 43,534 "," 46,464 "," 47,110 "," 47,605 "," 49,467 "," 51,408 "," 53,987 "
204031072,Towong," 38,937 "," 39,305 "," 40,331 "," 42,687 "," 45,636 "," 48,865 "," 47,362 "," 50,731 "," 54,062 "," 56,269 "
204031073,West Wodonga," 48,288 "," 49,702 "," 51,249 "," 52,290 "," 54,375 "," 55,028 "," 54,901 "," 57,793 "," 58,900 "," 60,766 "
204031075,Yackandandah," 45,418 "," 47,466 "," 49,453 "," 50,304 "," 54,013 "," 55,009 "," 54,960 "," 57,191 "," 58,413 "," 63,092 "
204031491,Baranduda - Leneva," 52,517 "," 55,000 "," 57,143 "," 57,683 "," 59,798 "," 59,002 "," 59,757 "," 62,322 "," 63,059 "," 66,300 "
204031492,Wodonga," 44,888 "," 45,351 "," 48,035 "," 49,329 "," 51,193 "," 51,340 "," 50,738 "," 52,780 "," 54,075 "," 56,160 "
205011076,Drouin," 42,551 "," 44,882 "," 47,042 "," 48,380 "," 50,387 "," 50,964 "," 51,685 "," 53,186 "," 55,577 "," 57,259 "
205011077,Mount Baw Baw Region," 38,906 "," 41,422 "," 42,324 "," 43,205 "," 46,236 "," 51,160 "," 50,737 "," 52,836 "," 54,568 "," 58,165 "
205011078,Trafalgar (Vic.)," 42,227 "," 44,410 "," 46,518 "," 47,243 "," 50,254 "," 54,462 "," 54,634 "," 57,132 "," 58,445 "," 60,318 "
205011079,Warragul," 43,110 "," 45,069 "," 47,709 "," 49,466 "," 51,745 "," 55,491 "," 56,461 "," 58,802 "," 60,898 "," 63,661 "
205021080,Alps - East," 32,270 "," 31,114 "," 32,682 "," 32,747 "," 32,740 "," 29,895 "," 24,480 "," 25,687 "," 25,610 "," 19,643 "
