agent_name,agent_company,price,address1,address2,bed,bath,parking,floor_space,longitude,latitude
John Hunter,William Porteous Properties International,UNLESS SOLD PRIOR OFFERS BY 5PM MON 30TH SEP,"39 Keightley Road,",SHENTON PARK WA 6008,3 Beds,2 Baths,1 Parking,359m²,115.8195558,-31.9585831
Brad Allan,Allan Real Estate Pty Ltd - RLA 239101,"$1,715,000 - $1,885,000","51 Gladstone Road,",NORTH BRIGHTON SA 5048,4 Beds,2 Baths,2 Parking,416m²,138.5220107,-35.0072802
Matthew Carvalho,Ray White Erskineville | Alexandria | Glebe | Surry Hills,Auction,"22A Ferry Road,",GLEBE NSW 2037,3 Beds,2 Baths,4 Parking,219m²,151.18583535,-33.8766555
Greg Nicolson,Louis Carr Real Estate,Contact Agent,"2a Hancock Drive,",CHERRYBROOK NSW 2126,4 Beds,2 Baths,2 Parking,660m²,151.041574,-33.71688
Tahlia Huke,Oslo Property,"$1,100,000-$1,200,000","27 Madeira Street,",ARMSTRONG CREEK VIC 3217,4 Beds,3 Baths,2 Parking,511m²,144.3446235,-38.2457948
Hendrick Heo,S Class Property,Offers invited,"4 Yallambee Way,",QUEENS PARK WA 6107,4 Beds,2 Baths,2 Parking,454m²,115.9365052,-32.0017748
Adam Charlton,Movement Realty,Presenting All Offers,"1 Saunders Court,",EVERTON PARK QLD 4053,3 Beds,2 Baths,2 Parking,752m²,152.9808518,-27.3926193
Cristian Cignarella,The Agency Illawarra,"$2,500,000","32 Ramah Avenue,",MOUNT PLEASANT NSW 2519,5 Beds,5 Baths,2 Parking,"1,328m²",150.8749626,-34.3973126
Gabe Vass,Ray White RPG,Auction| Will Be Sold,"85 Patrick Crescent,",SARATOGA NSW 2251,6 Beds,2 Baths,2 Parking,635m²,151.3566095,-33.4763656
Alex Mastoris,CobdenHayson Annandale,Contact Agent,"19 Denison Road,",LEWISHAM NSW 2049,2 Beds,1 Bath,− Parking,139m²,151.1441788,-33.8971815
Darren Pearce,BresicWhitney Inner East,"Guide $2,000,000","112 Mill Hill Road,",BONDI JUNCTION NSW 2022,2 Beds,1 Bath,− Parking,112m²,151.2439185,-33.892947
Michael Divito,McGrath Northcote,"$980,000 - $1,045,000","139 Christmas Street,",FAIRFIELD VIC 3078,3 Beds,2 Baths,2 Parking,171m²,145.0200673,-37.7674509
Nicholas Clark,Stean Nicholls Real Estate,Auction Saturday 5th October at 12noon,"788 Park Avenue,",NORTH ALBURY NSW 2640,7 Beds,3 Baths,3 Parking,"1,442m²",146.9254386,-36.0668611
Elle Seaman,Harcourts Adelaide Hills Mt Barker,$1.69m - $1.79m,"5 Devonshire Road,",HAWTHORNDENE SA 5051,5 Beds,3 Baths,2 Parking,"1,500m²",138.627838,-35.0256299
Jay Kalogerakis,Ballarat Real Estate,"$3,500,000 - $3,750,000","88 Kennedys Road,",SULKY VIC 3352,4 Beds,2 Baths,10 Parking,10.12ha,,
Glenn Foster,Raine & Horne Lower North Shore,For Sale - Contact Agent,"5 Berry Close,",GRASMERE NSW 2570,7 Beds,5 Baths,6 Parking,"25,252m²",150.6633489,-34.0515767
Daniel Stock,South Coast Realty - RLA 241454,Contact Agent,"16 Kent Drive,",VICTOR HARBOR SA 5211,4 Beds,2 Baths,2 Parking,"1,026m²",138.6104086,-35.5622198
Gabrielle Baker,Queensland Sotheby's International Realty,Best Offers by 1st Oct,"1/76 Miles Street,",HAWTHORNE QLD 4171,3 Beds,2 Baths,2 Parking,196m²,153.0619085,-27.4659345
Michael Wood,Harcourts Pilgrim,"Auction Wed, Oct 2nd On-Site (USP)","6 Salisbury Terrace,",CAMDEN PARK SA 5038,3 Beds,1 Bath,2 Parking,700m²,138.5434706,-34.9715834
Kelly Qualtrough,Ray White Everton Park,Expression of Interest,"1008 South Pine Road,",EVERTON HILLS QLD 4053,3 Beds,1 Bath,2 Parking,607m²,152.9747097,-27.3917529
Kay McKee,Raine & Horne Belmont,"Guide $790,000 - $850,000","19 Bell Street,",BELMONT NORTH NSW 2280,3 Beds,1 Bath,2 Parking,600m²,151.6650306,-33.0211982
Georgie Rayner,The Agency Hobart,"Offers Over $795,000","11 Feltham Street,",NORTH HOBART TAS 7000,2 Beds,1 Bath,− Parking,142m²,147.319132,-42.8701148
Dylan Wiltshire,Bendigo Ballarat Real Estate,"$400,000 - $440,000","3/33 Hayes Street,",IRONBARK VIC 3550,2 Beds,1 Bath,2 Parking,255m²,144.2633187,-36.7538749
Tyson Bennett,Edge Realty - RLA 256385,"$399,000 - $438,000","8 Old Sarum Road,",ELIZABETH NORTH SA 5113,3 Beds,1 Bath,1 Parking,583m²,138.6773651,-34.6947159
Helen Gong,REFINED REAL ESTATE - RLA 217949,Contact Agent,"Lot 1 & 2/5 Deveruex Road,",LINDEN PARK SA 5065,4 Beds,3 Baths,2 Parking,350m²,,
Holly King,McGrath Port Macquarie,"$1,050,000 - $1,150,000","169 Granite Street,",PORT MACQUARIE NSW 2444,4 Beds,3 Baths,2 Parking,611m²,152.9145228,-31.4411882
Jamie Maynard,Elders Real Estate Albury Wodonga & Howlong,"$1,450,000","26 Crystal Creek Lane,",YACKANDANDAH VIC 3749,3 Beds,2 Baths,5 Parking,2.43ha,146.8279575,-36.3283412
Jayden Donaldson,McKean McGregor Real Estate Pty Ltd,"$950,000 - $990,000","29 Club Court,",STRATHFIELDSAYE VIC 3551,6 Beds,3 Baths,4 Parking,"4,805m²",144.3514814,-36.8009981
Joe Bousimon,Belle Property Concord,"Price Guide | $1,500,000","4/424 Great North Road,",ABBOTSFORD NSW 2046,2 Beds,1 Bath,2 Parking,187m²,151.1302407,-33.855209
Matt Kenny,Ray White Mount Barker,Best Offer By | Mon 30 Sept @ 12:00 pm,"47 Victoria Terrace,",WILLIAMSTOWN SA 5351,2 Beds,1 Bath,5 Parking,"10,800m²",138.8877415,-34.6746789
Chris Girling,Ray White Lower North Shore Group,Auction - Contact Agent,"52 Spofforth Street,",CREMORNE NSW 2090,3 Beds,1 Bath,1 Parking,322m²,151.2288027,-33.8356194
Cristian Cignarella,The Agency Illawarra,"Price Guide $3,950,000","103 Walang Avenue,",FIGTREE NSW 2525,5 Beds,3 Baths,4 Parking,"3,574m²",150.8569806,-34.4245705
Adam Crawley,Ray White Sutherland Shire - Sylvania,"Auction | Price Guide $1,700,000","62 Princes Highway,",SYLVANIA NSW 2224,5 Beds,3 Baths,2 Parking,575m²,151.1100194,-34.0091032
Amir Shamsi,Torres Property,Auction,"20 Bridle Street,",MANSFIELD QLD 4122,4 Beds,2 Baths,2 Parking,556m²,153.0988593,-27.5202037
Isabella (Ni Yang Fang) Yan,Shead Property,Auction - Contact Agent,"27 Macquarie Street,",CHATSWOOD NSW 2067,5 Beds,3 Baths,2 Parking,556m²,151.1909307,-33.7909785
Marcus Gollings,McEwing Partners,"$1,500,000 - $1,650,000","28 John Rowell Lane,",MORNINGTON VIC 3931,4 Beds,2 Baths,2 Parking,520m²,145.0535244,-38.2117817
Owen Fredericks,Image Property NSW,EOI - Best Offers Closing 2nd October,"10 North Hill Court,",TANGLEWOOD NSW 2488,2 Beds,2 Baths,4 Parking,"5,502m²",153.5367275,-28.331312
Helen Bond,Ray White Inner North,OFFERS INVITED,"48 Second Avenue,",MOUNT LAWLEY WA 6050,4 Beds,2 Baths,4 Parking,"1,163m²",115.8731282,-31.9237687
Charles Kimmorley,NGU Real Estate Ripley,Auction,"11 Scoparia Drive,",BROOKWATER QLD 4300,4 Beds,3 Baths,2 Parking,889m²,152.8982846,-27.6592188
Jamie Wood,Ray White Barossa/Two Wells,Auction Online | Unless Sold Prior,"21 Jacobs Street,",NURIOOTPA SA 5355,3 Beds,2 Baths,2 Parking,456m²,139.0036115,-34.4602137
Mark Patterson,Allan Real Estate Pty Ltd - RLA 239101,"$590,000 - $640,000","15 Nilpena Avenue,",PARK HOLME SA 5043,3 Beds,1 Bath,1 Parking,334m²,138.5520616,-34.984427
David Smeallie,Pello Lower North Shore,Contact Agent,"61 Bond Street,",MOSMAN NSW 2088,5 Beds,2 Baths,− Parking,416m²,151.2378978,-33.8219047
Brad Allan,Allan Real Estate Pty Ltd - RLA 239101,"$1,545,000 - $1,695,000","4 Tennant Street,",GLENELG EAST SA 5045,4 Beds,2 Baths,2 Parking,537m²,138.5229662,-34.9865415
Connor Boyle,WHITEFOX Perth Pty Ltd,THE DEAL: High 1M's,"26 Milton Street,",MOUNT HAWTHORN WA 6016,3 Beds,2 Baths,2 Parking,466m²,115.8288721,-31.917127
TOBY CAMPBELL,Ray White CRE,"Auction $950,000 - $1,045,000","122 Keele Street,",COLLINGWOOD VIC 3066,2 Beds,1 Bath,− Parking,123m²,144.9870014,-37.7971146
Chris Nunn,BresicWhitney Inner West,"Guide $2,500,000","18 Queen Street,",GLEBE NSW 2037,3 Beds,2 Baths,1 Parking,101m²,151.1925701,-33.8813309
Mia Fredrix,CobdenHayson Drummoyne,Contact Agent,"29 Moore Street,",DRUMMOYNE NSW 2047,2 Beds,1 Bath,− Parking,278m²,151.1455881,-33.8521642
Nic Yates,The Agency North,Contact Agent,"14 Mulbring Street,",MOSMAN NSW 2088,5 Beds,3 Baths,1 Parking,664m²,151.2487587,-33.8312848
Jason Roach,The Agency North,Contact Agent,"8 Vista Street,",PYMBLE NSW 2073,4 Beds,2 Baths,1 Parking,916m²,151.153855,-33.737895
Amit Lamba,First National Real Estate Oran Park,"$979,000","16 Fleece Loop,",ORAN PARK NSW 2570,3 Beds,2 Baths,1 Parking,333m²,150.7506829,-33.9936466
Sharon Cook,Harcourts Bribie Island,For Sale By Tender - Closes 5pm 8th October 2024,"1-3/23 Solander Esp,",BANKSIA BEACH QLD 4507,9 Beds,6 Baths,3 Parking,607m²,153.1346204,-27.0481283
Andrew de Montemas,Drew Lindsay Sotheby's International Realty,"$2,325,000","13 Nerang Street,",BURRADOO NSW 2576,3 Beds,2 Baths,1 Parking,"2,301m²",150.4094447,-34.4922669
Gavin Staindl,Ray White Officer,"$770,000 - $847,000","22 Saffron Avenue,",OFFICER VIC 3809,4 Beds,2 Baths,2 Parking,420m²,145.4254862,-38.0729604
David Middleton,McGrath Epping,"Price guide $750,000","125/121-133 Pacific Highway,",HORNSBY NSW 2077,2 Beds,2 Baths,2 Parking,137m²,,
Danny Stanley,Kollosche,Auction,"5037 Emerald Island Drive,",CARRARA QLD 4211,4 Beds,5 Baths,3 Parking,864m²,153.3736039,-28.0170662
Rhys Escritt,Ray White Barossa/Two Wells,Auction In room & Online - Unless Sold Prior,"27 Marshalsea Road,",ELIZABETH PARK SA 5113,3 Beds,1 Bath,1 Parking,640m²,138.6907851,-34.7120478
Amir Shamsi,Torres Property,Auction,"54 Valentia Street,",MANSFIELD QLD 4122,3 Beds,1 Bath,1 Parking,562m²,153.0939175,-27.538407
Kristal Sawtell,Salt Property Newcastle,"Auction Guide $895,000","42 Lucas Crescent,",ADAMSTOWN HEIGHTS NSW 2289,3 Beds,1 Bath,1 Parking,601m²,151.7104892,-32.9496348
Chris Hassall,Buxton Real Estate Bentleigh,"$1,200,000","45 Denver Street,",BENTLEIGH EAST VIC 3165,4 Beds,2 Baths,2 Parking,579m²,145.0588504,-37.9332661
Chris Roumanous,Ray White RPG,Contact Chris,"78 Ridgway Road,",AVOCA BEACH NSW 2251,5 Beds,3 Baths,2 Parking,"1,590m²",151.4301492,-33.4776404
Ben Liesch,Ray White Toowoomba,"Buyer interest above $649,000","4 Dunne Street,",HARRISTOWN QLD 4350,3 Beds,1 Bath,2 Parking,736m²,151.9379329,-27.5707405
James Sutton,McGrath Wahroonga,"Auction Guide $3,500,000","28 Booraba Avenue,",LINDFIELD NSW 2070,4 Beds,2 Baths,2 Parking,860m²,151.1523454,-33.7889099
Jordan Andonovski,The Agency Illawarra,"Price Guide $995,000","144 Mount Keira Road,",MOUNT KEIRA NSW 2500,4 Beds,1 Bath,1 Parking,556m²,150.8472364,-34.3932252
Michele Adams,Helen Munro Property,"Offers Over $459,000","1/23 Yanuca Street,",BURDELL QLD 4818,3 Beds,2 Baths,2 Parking,139m²,146.7000144,-19.2376502
Sam Oborn,Harcourts Adelaide Hills Mt Barker,"$680,000 - $720,000","34 Karingal Road,",DERNANCOURT SA 5075,3 Beds,1 Bath,1 Parking,637m²,138.6746691,-34.8621569
Glenn Bartlett,Woodards,"$1,800,000 - $1,900,000","106 Keele Street,",COLLINGWOOD VIC 3066,3 Beds,2 Baths,1 Parking,250m²,144.9870014,-37.7971146
Marz Harkotsikas,Ray White Mawson Lakes,Auction (USP),"16 New Hampshire Drive,",PARAFIELD GARDENS SA 5107,3 Beds,2 Baths,2 Parking,450m²,138.6261446,-34.7803243
Darren Curtis,Christie’s International Real Estate,Expressions of Interest,"1740 Pittwater Road,",BAYVIEW NSW 2104,6 Beds,4 Baths,2 Parking,"1,608m²",151.301065,-33.6670785
Tim Cordwell,PRD Hobart,"Offers Over $570,000","132 Bligh Street,",WARRANE TAS 7018,4 Beds,2 Baths,7 Parking,685m²,147.37908360276865,-42.857775849999996
Rebecca Dean,First National Port Stephens,AUCTION,"52 Armidale Avenue,",NELSON BAY NSW 2315,4 Beds,3 Baths,2 Parking,822m²,152.154814,-32.7241464
Oliver Jonker,Ray White Ascot,Auction,"48 Power Street,",WAVELL HEIGHTS QLD 4012,5 Beds,3 Baths,2 Parking,660m²,153.0449041,-27.4019578
Gus Meikle,The Agency,"From $1,050,000","12 Loxham Place,",GREENWOOD WA 6024,4 Beds,2 Baths,1 Parking,717m²,115.8141612,-31.8307372
Kevin Spaulding,PRD Hobart,"Offers Over $895,000","144 Heatherbell Road,",FORCETT TAS 7173,4 Beds,2 Baths,8 Parking,"8,036m²",147.6331082,-42.8344527
Tyson Bennett,Edge Realty - RLA 256385,"$499,000 - $548,000","8 Peacock Road,",ELIZABETH DOWNS SA 5113,3 Beds,1 Bath,3 Parking,760m²,138.6911865,-34.7010159
Chris Pilkington,Place Estate Agents Kangaroo Point,Best Offers by 5pm 22nd September,"407/18 Thorn Street,",KANGAROO POINT QLD 4169,2 Beds,2 Baths,1 Parking,105m²,153.0402239,-27.4765271
Simon de Wit,Harcourts Gawler Sales,"$785,000 - $800,000","Lot 599 Mullamar Way,",GAWLER EAST SA 5118,5 Beds,2 Baths,2 Parking,487m²,138.7734112,-34.6042434
Harman Jolly,NGU Real Estate Head Office,Expression of Interest,"39-43 Woodend Court,",PARK RIDGE QLD 4125,9 Beds,5 Baths,6 Parking,"6,485m²",153.0452983,-27.7124445
Dylan Choe,Morton Newington,"Guide $1,100,000","518/37 Amalfi Drive,",WENTWORTH POINT NSW 2127,3 Beds,2 Baths,2 Parking,168m²,151.0731875,-33.8301006
Sebastian Viteri,Pulse Property Agents,For Sale,"26/37-41 Belmont Street,",SUTHERLAND NSW 2232,2 Beds,2 Baths,1 Parking,130m²,,
Angelo Vagenas,McGrath Beverly Hills,"Auction guide $480,000","1/25 Stoddart Street,",ROSELANDS NSW 2196,2 Beds,1 Bath,1 Parking,122m²,151.0777499,-33.9374526
Ivan Blow,Buxton Real Estate Bentleigh,"$1,750,000 - $1,800,000","59b Barrington Street,",BENTLEIGH EAST VIC 3165,4 Beds,3 Baths,2 Parking,340m²,145.074249,-37.9131965
Cooper Reed,MMJ Wollongong,"Auction | Guide $1,995,000","G02/9-11 Park Street,",WOLLONGONG NSW 2500,4 Beds,2 Baths,1 Parking,298m²,,
Maria  Genc,Amir Prestige Group,"$5,495,000","61 Stanhill Drive,",CHEVRON ISLAND QLD 4217,5 Beds,4 Baths,4 Parking,506m²,,
Jacob Stanton,The Property Collective,Auction 05/10/2024,"8 Trickett Place,",ISABELLA PLAINS ACT 2905,5 Beds,2 Baths,2 Parking,653m²,149.0998358,-35.4291967
Julian Stepik,PRD Hobart,"Offers Over $795,000","7 Nathan Street,",BERRIEDALE TAS 7011,4 Beds,3 Baths,4 Parking,600m²,147.2478914,-42.81785
Lance Dekker,LJ Hooker Port Macquarie,Auction: Onsite 28th September 2024 @ 10am,"18 Golf Street,",PORT MACQUARIE NSW 2444,3 Beds,2 Baths,2 Parking,493m²,152.91853505677997,-31.43462185
Emmanuel Calder,Fortitude Real Estate Group,Auction,"11 Charles Street,",NEW FARM QLD 4005,3 Beds,2 Baths,2 Parking,417m²,153.0467042,-27.4652383
Dan Cooper,Ray White Canberra,"$410,000+","517/17 Dooring Street,",BRADDON ACT 2612,1 Bed,1 Bath,1 Parking,"5,900m²",149.1342595,-35.2616576
Brad Allan,Allan Real Estate Pty Ltd - RLA 239101,"$2,495,000 - $2,735,000","9 Bond Street,",SOMERTON PARK SA 5044,5 Beds,3 Baths,2 Parking,665m²,138.5188989,-34.9923836
Hamish Clayton,Abercrombys,Contact Agent,"11 Montgomery Court,",KILSYTH VIC 3137,3 Beds,1 Bath,4 Parking,"1,538m²",145.3049254,-37.7971614
Simon de Wit,Harcourts Gawler Sales,"$845,000 - $875,000","Lot 821 Corymbia Way,",RIVERLEA PARK SA 5120,5 Beds,2 Baths,2 Parking,480m²,,
David Cotton,Raine & Horne Port Douglas Mossman,Auction,"17 Oak Street,",OAK BEACH QLD 4877,3 Beds,2 Baths,2 Parking,607m²,145.5218118,-16.5988868
Ivy Ye,Buxton Balwyn Canterbury,Contact Agent,"459-461 Springvale Road,",SPRINGVALE VIC 3171,4 Beds,1 Bath,8 Parking,"1,808m²",145.150465,-37.9620693
Julie York,Raine & Horne Helensburgh,By Negotiation,"14 Plateau Road,",STANWELL TOPS NSW 2508,4 Beds,2 Baths,2 Parking,809m²,150.973807,-34.2203473
Tom Robinson,Harcourts Newcastle,Price Guide on Request,"10 Ford Avenue,",MOUNT HUTTON NSW 2290,3 Beds,1 Bath,2 Parking,514m²,151.6691761,-32.9825378
Lauren Laing,The Property Collective,Floriade Auction 29/09/2024,"21/20 Helpmann Street,",BONYTHON ACT 2905,3 Beds,2 Baths,2 Parking,185m²,149.0724127,-35.4260429
Sam Kearney,Raine & Horne Forestville - Frenchs Forest,Auction - Unless Sold Prior,"11/691-695 Warringah Road,",FORESTVILLE NSW 2087,2 Beds,2 Baths,2 Parking,245m²,,
Ellie  Gong,Buxton Balwyn Canterbury,"Private Sale $1,550,000 to $1,650,000","4/58 Belgravia Avenue,",MONT ALBERT NORTH VIC 3129,4 Beds,3 Baths,2 Parking,426m²,145.1062515,-37.7999365
Ellie  Gong,Buxton Balwyn Canterbury,"Private Sale $2,200,000 to $2,400,000","782 Whitehorse Road,",MONT ALBERT VIC 3127,7 Beds,3 Baths,2 Parking,758m²,145.1136253,-37.8167641
Leo Xu,Buxton Balwyn Canterbury,Contact Agent,"728 Waverley Road,",MALVERN EAST VIC 3145,3 Beds,1 Bath,2 Parking,715m²,145.0455021,-37.8756913
Leo Xu,Buxton Balwyn Canterbury,"Auction $4,500,000 to $4,950,000","55 Park Road,",GLEN IRIS VIC 3146,5 Beds,5 Baths,2 Parking,717m²,145.0562653,-37.8486763
Ian Pepper,Ray White Helensburgh,Auction unless sold prior,"14 The Drive,",STANWELL PARK NSW 2508,2 Beds,2 Baths,1 Parking,"1,135m²",150.9890429,-34.2260776
Anthony Gattuso,Nelson Alexander Fitzroy,"Auction $820,000 - $900,000","83 Bennett Street,",FITZROY NORTH VIC 3068,2 Beds,1 Bath,− Parking,102m²,144.9881458,-37.7811229
Lynsey Kemp,Belle Property Balmain,"Guide $3,000,000","32 Ann Street,",BALMAIN NSW 2041,4 Beds,2 Baths,2 Parking,207m²,151.1854803,-33.8587058
Leo Xu,Buxton Balwyn Canterbury,Contact Agent,"41-43 Riverview Terrace,",BULLEEN VIC 3105,3 Beds,1 Bath,2 Parking,"1,207m²",145.0959726,-37.77428
Stephanie Williams,Williams Real Estate RLA 247163,EOI CLOSING WEDNESDAY 9TH OCTOBER AT 2:00PM (USP),"2A Rutland Avenue,",UNLEY PARK SA 5061,4 Beds,3 Baths,2 Parking,"1,531m²",138.5961868,-34.9631817
Jo Dowling,Gayndah Real Estate,"$499,000","94-96 Capper Street,",GAYNDAH QLD 4625,3 Beds,1 Bath,4 Parking,"8,113m²",151.6177377,-25.6288911
Casey Wang,Buxton Balwyn Canterbury,"Private Sale $1,330,000 to $1,390,000","17 Elizabeth Street,",BOX HILL NORTH VIC 3129,4 Beds,1 Bath,2 Parking,759m²,145.1237833,-37.7992654
Casey Wang,Buxton Balwyn Canterbury,"Auction $1,150,000 to $1,250,000","2 Lilac Court,",BLACKBURN NORTH VIC 3130,3 Beds,2 Baths,2 Parking,585m²,145.147767,-37.804724
Ellie  Gong,Buxton Balwyn Canterbury,"Auction $1,600,000 to $1,700,000","62 Clifton Street,",BALWYN NORTH VIC 3104,4 Beds,2 Baths,2 Parking,815m²,145.1047283,-37.7919927
Leo Xu,Buxton Balwyn Canterbury,Contact Agent,"49 Kenny Street,",BALWYN NORTH VIC 3104,7 Beds,7 Baths,2 Parking,983m²,145.0931602,-37.7998824
Leo Xu,Buxton Balwyn Canterbury,Contact Agent,"35 McShane Street,",BALWYN NORTH VIC 3104,6 Beds,6 Baths,8 Parking,"1,150m²",145.0890364,-37.7972858
Johnny Oh,Pello - Northern Suburbs,Contact Agent,"1/18-20 Cameron Crescent,",RYDE NSW 2112,3 Beds,2 Baths,2 Parking,222m²,,
Tian Hong,Ray White Epping SYD,Auction (If not sold prior),"62 Pennant Parade,",EPPING NSW 2121,3 Beds,1 Bath,3 Parking,"1,005m²",151.0581179,-33.770064
Paul Loughland,NPB Real Estate,"$940,000 - $980,000","52 Whitewater Terrace,",LAKE CATHIE NSW 2445,3 Beds,2 Baths,2 Parking,250m²,152.845336,-31.567562
Nathan Mills & Ben Gatwood,McGrath Ballina/Lennox Head/Alstonville,Auction,"4 Cawarra Street,",BALLINA NSW 2478,3 Beds,1 Bath,2 Parking,600m²,153.56946358095655,-28.86018165
Wendy Samrani,Ray White Caringbah,Auction unless sold prior,"47 Ultimo Street,",CARINGBAH SOUTH NSW 2229,4 Beds,2 Baths,6 Parking,683m²,151.1223994,-34.0493136
Dat Lam Vuong,Belle Property Strathfield,Contact Agent,"Level 1, 12/52-58 Parramatta Road,",HOMEBUSH NSW 2140,2 Beds,2 Baths,1 Parking,148m²,,
Craig Harrison,Buxton Hampton East,"$2,100,000 - $2,200,000","5 Barnet Street,",HIGHETT VIC 3190,4 Beds,2 Baths,3 Parking,720m²,145.0320992,-37.9507573
Lee  Warren,Ray White Ashgrove,Auction,"14 Piddington Street,",ASHGROVE QLD 4060,6 Beds,4 Baths,2 Parking,482m²,152.9729761,-27.4465196
Haydon Sacilotto,Ray White Georges River,For Sale | Offers Invited,"133 Hurstville Road,",OATLEY NSW 2223,3 Beds,2 Baths,1 Parking,445m²,151.0853884,-33.9773971
Keira Jane - Lic: 20452606,Pulse Property Agents,Auction,"12 Woodford Crescent,",HEATHCOTE NSW 2233,5 Beds,2 Baths,3 Parking,544m²,151.0173322,-34.0873709
Ben Waugh,Elevate Property Partners,"Offers Over $799,000","47 Lakeshore Circuit,",IDALIA QLD 4811,4 Beds,2 Baths,2 Parking,552m²,146.8132868,-19.3012562
Paulette Ghaleb,LJ Hooker Granville / Guildford / Merrylands,"$450,000 - $480,000","12/71-77 O'Neill Street,",GUILDFORD NSW 2161,2 Beds,1 Bath,1 Parking,111m²,,
Michael Bennett,Bennett Property NSW,FOR SALE,"87 Avoca Road,",GROSE WOLD NSW 2753,5 Beds,2 Baths,3 Parking,4.05ha,150.6705612,-33.6010019
Karl Garufi,Belle Property Nundah,For Sale,"702/47 Nundah Street,",NUNDAH QLD 4012,1 Bed,1 Bath,1 Parking,63m²,153.061435,-27.399446
Karl Garufi,Belle Property Nundah,For Sale,"551/120 Melton Road,",NUNDAH QLD 4012,2 Beds,1 Bath,1 Parking,80m²,,
Tyson Bennett,Edge Realty - RLA 256385,"$469,000 - $509,000","13 Lindsay Street,",ELIZABETH DOWNS SA 5113,3 Beds,1 Bath,3 Parking,673m²,138.6917661,-34.6911631
Adrian Epifanino,Louis Carr Castle Hill,On Site Auction 5th October at 1:45pm,"43B Kingussie Avenue,",CASTLE HILL NSW 2154,3 Beds,2 Baths,2 Parking,473m²,151.004637,-33.7150943
Cveta Kolarovski,CVETA Property,EOI - Closing Tuesday 15th of October 5pm,"14 Nereida Close,",KOTARA NSW 2289,3 Beds,2 Baths,2 Parking,696m²,151.6890922,-32.946539
Mark Davidson,Elders Real Estate Griffith,Auction (if not sold prior),"9 Carrathool Street,",GRIFFITH NSW 2680,3 Beds,1 Bath,1 Parking,"1,214m²",146.0518158,-34.2817738
Aaron Purches,McGrath Oatley,"Auction guide $1,100,000","1/20 Grove Avenue,",NARWEE NSW 2209,4 Beds,2 Baths,2 Parking,211m²,151.0682908,-33.9424093
Mark Butler,Dowling Real Estate Raymond Terrace,"$890,000","15-17 Wye Street,",STROUD NSW 2425,5 Beds,2 Baths,6 Parking,"4,047m²",151.9678363,-32.4133744
Alyssa Earley,Ray White Sutherland Shire - Kirrawee,Auction | Contact Agent,"3 Perth Street,",KIRRAWEE NSW 2232,3 Beds,1 Bath,1 Parking,556m²,151.0757682,-34.0222206
Danielle Vains,Peninsula Sotheby’s International Realty,Private Sale,"19 Summoner Street,",BLAIRGOWRIE VIC 3942,5 Beds,3 Baths,− Parking,792m²,144.770472,-38.3711742
Andrew Lonsdale,Ray White Canberra,"$665,000+","204/15 Irving Street,",PHILLIP ACT 2606,2 Beds,2 Baths,2 Parking,"9,680m²",149.0838921,-35.3404034
Guy Draper,Homburg Real Estate,"$875,000 - $925,000","24 Doering Street,",TANUNDA SA 5352,4 Beds,2 Baths,8 Parking,977m²,138.9687136,-34.5126241
Darren Rice,Elders Real Estate Forster,"$895,000 - $925,000","13 Hilltop Parkway,",TALLWOODS VILLAGE NSW 2430,3 Beds,2 Baths,4 Parking,"1,605m²",152.5062607,-32.054068
Tony Bacic,Roberts Real Estate Glenorchy,"$1,000,000 - $1,150,000","1/184-186 Campbell Street,",NORTH HOBART TAS 7000,5 Beds,3 Baths,4 Parking,635m²,,
Angelo Vagenas,McGrath Beverly Hills,"Auction guide $650,000","20/13-17 Hampden Street,",BEVERLY HILLS NSW 2209,2 Beds,1 Bath,1 Parking,107m²,,
Duncan Walker,LJ Hooker Belconnen,Auction,"14 Calyute Street,",BONNER ACT 2914,4 Beds,2 Baths,2 Parking,617m²,149.1376217,-35.1634556
Roger Lahoud,McGrath St George,"For sale $700,000 - $770,000","7/61 Trafalgar Street,",PEAKHURST NSW 2210,2 Beds,2 Baths,1 Parking,148m²,151.0603219,-33.9571663
Neil Robson,Cassidy Real Estate,Auction | Neil Robson,"15 Lyndhurst Street,",GLADESVILLE NSW 2111,3 Beds,1 Bath,2 Parking,449m²,151.1263491,-33.8195502
Tim De La Hunty,PRD Port Stephens,Auction,"10 Anglers Drive,",ANNA BAY NSW 2316,4 Beds,3 Baths,6 Parking,727m²,152.0890195,-32.7788066
Damon Brohier,Ray White Mount Barker,"Price Guide $775,000","20 Heron Grove,",MOUNT BARKER SA 5251,4 Beds,2 Baths,4 Parking,450m²,138.8845343,-35.0908512
Garry Knapp,Gary Knapp Realty,Expressions of Interest invited.,"29 The Knoll,",TALLWOODS VILLAGE NSW 2430,3 Beds,3 Baths,3 Parking,858m²,152.5075153,-32.0551252
Jodi Hansson,Elders Real Estate Hobart,"Low to Mid $500,000's","7 Langura Avenue,",CHIGWELL TAS 7011,3 Beds,1 Bath,4 Parking,794m²,147.2477157,-42.8083046
Corinne Nicholson,Roberts Real Estate Sheffield,"Offers Over $1,800,000","152 Whitsitts Road,",WYNYARD TAS 7325,3 Beds,2 Baths,14 Parking,"424,919m²",145.725292,-41.0205681
Sarah Hackett,Place Estate Agents New Farm,Auction,"122 Abbotsleigh Street,",HOLLAND PARK QLD 4121,5 Beds,3 Baths,4 Parking,"1,650m²",153.062327,-27.5126265
