agent_name,agent_company,price,address1,address2,bed,bath,parking,floor_space,longitude,latitude
Steve Dorman,Dowling Property Group (Hamilton),Auction,"40 Hibberd Street,",HAMILTON SOUTH NSW 2303,3 Beds,1 Bath,2 Parking,587m²,151.7411827,-32.9326009
Eddie Singh,LJ Hooker St Lucia,Auction,"37 Donaldson Street,",CORINDA QLD 4075,5 Beds,3 Baths,2 Parking,405m²,152.9835781,-27.5394547
Christine Morris,S'avance Real Estate,Best Offers by 12pm 30/9,"4 Isaac Street,",MOUNT PLEASANT SA 5235,4 Beds,3 Baths,− Parking,951m²,139.0413553,-34.7791121
David Eastway,Hudson McHugh,Auction,"47 South Avenue,",LEICHHARDT NSW 2040,3 Beds,1 Bath,− Parking,158m²,151.1629593,-33.8847787
Russell Gregory,POULSEN PROPERTY,COMING SOON,"30 Randolph Street,",GRACEVILLE QLD 4075,4 Beds,2 Baths,2 Parking,607m²,152.9762892,-27.5198866
Melanie Hurst,Harcourts APG,"Offers Over $669,000","1/3A Garvey Place,",BUNBURY WA 6230,3 Beds,2 Baths,3 Parking,408m²,115.6388913,-33.3347791
Faraz Peyman,LJ Hooker Property Partners - SunnyBank Hills & Mount Gravatt,Auction,"1 The Crescent,",UNDERWOOD QLD 4119,5 Beds,2 Baths,2 Parking,700m²,153.1049683,-27.6132305
Shane Hilaire,Ray White Berry,New to Market,"47 Windsor Drive,",BERRY NSW 2535,3 Beds,1 Bath,1 Parking,669m²,150.6883483,-34.7756951
Faraz Peyman,LJ Hooker Property Partners - SunnyBank Hills & Mount Gravatt,Auction,"60 Brookvale Drive,",UNDERWOOD QLD 4119,3 Beds,2 Baths,2 Parking,451m²,153.1111555,-27.612212
Richard & Amanda Bolton,The Bolton Group,"Offers Over $729,000","32 Mount Crosby Road,",TIVOLI QLD 4305,3 Beds,1 Bath,4 Parking,809m²,152.7724895,-27.5885496
Sherie Jafari,Newstead Realty,Sale by Negotiation,"914/18 Longland Street,",NEWSTEAD QLD 4006,2 Beds,2 Baths,1 Parking,116m²,153.0421429,-27.4509647
Hayden Gay,Image Property Southside,"Offer Over $700,000","114 Jacaranda Avenue,",LOGAN CENTRAL QLD 4114,4 Beds,2 Baths,2 Parking,746m²,153.1053771,-27.6418976
Kim Blake,Batemans Bay Real Estate,$810000,"49 Catalina Drive,",CATALINA NSW 2536,3 Beds,3 Baths,2 Parking,639m²,150.1924877,-35.7311965
Vicki Streatfeild,Hindmarsh & Walsh Property,"$1,295,000","2a Rosenthal Avenue,",BUNDANOON NSW 2578,3 Beds,2 Baths,5 Parking,"1,606m²",150.3105386,-34.6524813
Katie Daunt,Coronis Bayside,For Sale,"33 Gateway Street,",WYNNUM WEST QLD 4178,4 Beds,2 Baths,3 Parking,582m²,153.1612945,-27.4569555
Leo Xu,Buxton Balwyn Canterbury,Contact Agent,"34 Alexandra Avenue,",CANTERBURY VIC 3126,5 Beds,2 Baths,2 Parking,674m²,145.0729194,-37.8174436
Olivia Nichols,Barry Plant Heathmont & Ringwood,"$1,050,000 - $1,150,000","43 Alexandra Road,",RINGWOOD EAST VIC 3135,3 Beds,2 Baths,3 Parking,698m²,145.2560093,-37.8173678
James Holvander,Meridien Realty,New To The Market,"41 Mile End Road,",ROUSE HILL NSW 2155,4 Beds,2 Baths,2 Parking,510m²,150.9291653,-33.6694183
Alexandra Stamatiou-Buda,McGrath Leichhardt,Auction,"43 William Street,",EARLWOOD NSW 2206,3 Beds,2 Baths,4 Parking,537m²,151.1203756,-33.9268359
Alexandra Stamatiou-Buda,McGrath Leichhardt,Auction,"4/3-7 Fore Street,",CANTERBURY NSW 2193,2 Beds,2 Baths,2 Parking,231m²,151.1171462,-33.9156785
