Agent Name,Agent Company,Price,Address Line 1,Address Line 2,Bedrooms,Bathrooms,Parking,Floor Space,Region,latitude,longitude
Natalie Subotsch,Gotham Property,$500,"511/9 Dryburgh Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,melbourne-vic,,
Michelle Chiu,Gotham Property,"$1,100","2 Russell Street,",PRAHRAN VIC 3181,3 Beds,2 Baths,2 Parking,,melbourne-vic,,
Ismaeel Hussain,Samma Real Estate,$850 per week,"604/35-43 Dryburgh Street,",WEST MELBOURNE VIC 3003,2 Beds,2 Baths,1 Parking,,melbourne-vic,17.38298,-100.87314
Shermta Flomo,Woodards South Yarra,$300 pw,"3/37 Hope Street,",SOUTH YARRA VIC 3141,− 0 Beds,1 Bath,− Parking,,melbourne-vic,-37.83333,144.98333
Glenda Martin,Fletchers Canterbury,$600 weekly,"1/18 Normanby Street,",HUGHESDALE VIC 3166,2 Beds,1 Bath,1 Parking,,melbourne-vic,51.27904,1.07992
Monique Wood,Buxton Oakleigh,$650.00,"101 Springs Road,",CLAYTON SOUTH VIC 3169,3 Beds,2 Baths,6 Parking,,melbourne-vic,,
Angus Brayshaw,Richardson & Wrench Projects Victoria,$620 per week,"14 Catherine Walk,",WOLLERT VIC 3750,4 Beds,3 Baths,2 Parking,,melbourne-vic,-37.0,145.0
Leasing Team,Besser & Co. Estate Agents,$690,"105/179 Booran Road,",CAULFIELD SOUTH VIC 3162,3 Beds,2 Baths,2 Parking,,melbourne-vic,,
Renee Whitehouse,Harris Property - Melbourne,$440 weekly,"5 Kenley Ct,",MEADOW HEIGHTS VIC 3048,3 Beds,1 Bath,3 Parking,,melbourne-vic,-37.814,144.96332
Daniel Hamilton,McGrath,$440 pw,"9/53 Batman Street,",WEST MELBOURNE VIC 3003,1 Bed,1 Bath,− Parking,,melbourne-vic,62.95639,-155.59583
Steven Biggins,RT Edgar Glen Eira,$780.00,"203/6 Percy Place,",PRAHRAN VIC 3181,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.89949,145.04099
Steven Biggins,RT Edgar Glen Eira,$800.00,"G04/6 Percy Place,",PRAHRAN VIC 3181,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.89949,145.04099
Steven Biggins,RT Edgar Glen Eira,"$1,495.00","136 Sycamore Street,",CAULFIELD SOUTH VIC 3162,4 Beds,2 Baths,2 Parking,,melbourne-vic,-37.89949,145.04099
Ismaeel Hussain,Samma Real Estate,$500 per week,"14 League Street,",WERRIBEE VIC 3030,4 Beds,2 Baths,2 Parking,,melbourne-vic,17.38298,-100.87314
Melanie Jones,Jellis Craig Inner West,$650.00,"69 Speight Street,",NEWPORT VIC 3015,3 Beds,1 Bath,1 Parking,,melbourne-vic,-33.86482,151.20773
Alicia Cannizzaro,Jellis Craig Northcote,$720.00,"3/88 Brunswick Road,",BRUNSWICK VIC 3056,2 Beds,2 Baths,1 Parking,,melbourne-vic,-37.76667,145.0
Kim Te,Motion Property,$620 per week,"801/2 Joseph Road,",FOOTSCRAY VIC 3011,2 Beds,2 Baths,1 Parking,,melbourne-vic,,
Danielle Ryan,The Core Advisory Team VIC,$750pw,"13/299 Dandenong Road,",PRAHRAN VIC 3181,2 Beds,1 Bath,1 Parking,,melbourne-vic,-37.0,145.0
Alexander Gorejena,aussieproperty.com,$550,"13/9 Wilks Street,",CAULFIELD NORTH VIC 3161,2 Beds,1 Bath,1 Parking,,melbourne-vic,,
Matthew Swinnerton,Ray White Oakleigh,$885,"2/8 Oberon Avenue,",OAKLEIGH EAST VIC 3166,4 Beds,2 Baths,− Parking,,melbourne-vic,,
